  10.0000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.190530      0.484039      0.707658      0.394873      0.498040E-01  0.587096E-01  0.657854      0.336163      0.108514      0.465960E-01  0.345186E-01  0.241910E-01  0.320801E-02   0.00000    
  0.208912      0.392260      0.698477      0.374512      0.384105E-01  0.492336E-01  0.660067      0.325278      0.876441E-01  0.360140E-01  0.290125E-01  0.202211E-01  0.239653E-02   0.00000    
  0.229067      0.311022      0.684161      0.351363      0.285580E-01  0.405900E-01  0.655603      0.310773      0.691481E-01  0.268203E-01  0.239720E-01  0.166181E-01  0.173775E-02   0.00000    
  0.251167      0.241073      0.663323      0.325252      0.204104E-01  0.328525E-01  0.642913      0.292400      0.532629E-01  0.191871E-01  0.194430E-01  0.134095E-01  0.122337E-02   0.00000    
  0.275399      0.181701      0.635291      0.296448      0.138726E-01  0.259890E-01  0.621419      0.270459      0.398617E-01  0.130443E-01  0.154121E-01  0.105769E-01  0.828373E-03   0.00000    
  0.301969      0.133101      0.598696      0.265092      0.894440E-02  0.200556E-01  0.589751      0.245036      0.290000E-01  0.840422E-02  0.119155E-01  0.814011E-02  0.540184E-03   0.00000    
  0.331102      0.940062E-01  0.553416      0.231794      0.537259E-02  0.149911E-01  0.548043      0.216803      0.203637E-01  0.503820E-02  0.892198E-02  0.606909E-02  0.334393E-03   0.00000    
  0.363046      0.640278E-01  0.498809      0.197171      0.300352E-02  0.108229E-01  0.495806      0.186348      0.138264E-01  0.280638E-02  0.645110E-02  0.437177E-02  0.197141E-03   0.00000    
  0.398071      0.415301E-01  0.436041      0.162200      0.151395E-02  0.745683E-02  0.434527      0.154743      0.897078E-02  0.140577E-02  0.445087E-02  0.300596E-02  0.108177E-03   0.00000    
  0.436476      0.254830E-01  0.366352      0.127962      0.679020E-03  0.486087E-02  0.365672      0.123101      0.553989E-02  0.624429E-03  0.290489E-02  0.195597E-02  0.545913E-04   0.00000    
  0.478586      0.147450E-01  0.292576      0.958154E-01  0.266228E-03  0.296212E-02  0.292310      0.928532E-01  0.322835E-02  0.240869E-03  0.177192E-02  0.119019E-02  0.253591E-04   0.00000    
  0.524759      0.790433E-02  0.218715      0.670634E-01  0.878757E-04  0.165192E-02  0.218627      0.654115E-01  0.173980E-02  0.773733E-04  0.988965E-03  0.662958E-03  0.105025E-04   0.00000    
  0.575386      0.384330E-02  0.149638      0.429189E-01  0.234474E-04  0.819011E-03  0.149614      0.420998E-01  0.842458E-03  0.197078E-04  0.490637E-03  0.328374E-03  0.373958E-05   0.00000    
  0.630897      0.163616E-02  0.904968E-01  0.242714E-01  0.479941E-05  0.345150E-03  0.904920E-01  0.239262E-01  0.349950E-03  0.372792E-05  0.206873E-03  0.138278E-03  0.107149E-05   0.00000    
  0.691764      0.572285E-03  0.456517E-01  0.114560E-01  0.688206E-06  0.114700E-03  0.456510E-01  0.113413E-01  0.115389E-03  0.474109E-06  0.687774E-04  0.459231E-04  0.214098E-06   0.00000    
  0.758504      0.143366E-03  0.171901E-01  0.404406E-02  0.458357E-07  0.259700E-04  0.171901E-01  0.401809E-02  0.260158E-04  0.281050E-07  0.155785E-04  0.103914E-04  0.177307E-07   0.00000    
  0.831682      0.195656E-04  0.379739E-02  0.842842E-03  -.300041E-08  0.294683E-05  0.379739E-02  0.839895E-03  0.294383E-05  -.148987E-08  0.176841E-05  0.117841E-05  -.151054E-08   0.00000    
  0.911920      0.579785E-06  0.226487E-03  0.482865E-04  -.240886E-09  0.614384E-07  0.226487E-03  0.482250E-04  0.611975E-07  -.121661E-09  0.368874E-07  0.245510E-07  -.119224E-09   0.00000    
  0.999900      0.896731E-13  0.111743E-09  0.257253E-10  -.347947E-16  0.124772E-14  0.111743E-09  0.257241E-10  0.121292E-14  -.175569E-16  0.752143E-15  0.495576E-15  -.172378E-16   0.00000    
