   10.000000             101          13  9.99999975E-05  0.99989998    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot    
  0.363055E-01   3.25785      0.669857      0.548887      0.311445      0.342309      0.358412      0.206578      0.653754      0.263447      0.194814      0.147495      0.479988E-01   0.00000    
  0.398081E-01   3.08631      0.674639      0.541900      0.299633      0.324664      0.375006      0.217235      0.624297      0.255703      0.185118      0.139546      0.439307E-01   0.00000    
  0.436487E-01   2.91112      0.679628      0.535157      0.287721      0.307108      0.391907      0.228050      0.594829      0.247758      0.175454      0.131653      0.399635E-01   0.00000    
  0.478598E-01   2.73269      0.684747      0.528610      0.275698      0.289666      0.409049      0.238945      0.565363      0.239591      0.165836      0.123829      0.361063E-01   0.00000    
  0.524772E-01   2.55137      0.689926      0.522215      0.263547      0.272371      0.426378      0.249844      0.535918      0.231173      0.156280      0.116091      0.323741E-01   0.00000    
  0.575400E-01   2.36746      0.695081      0.515922      0.251237      0.255287      0.443844      0.260635      0.506524      0.222436      0.146816      0.108471      0.288011E-01   0.00000    
  0.630913E-01   2.18195      0.700121      0.509648      0.238760      0.238450      0.461361      0.271198      0.477210      0.213363      0.137464      0.100986      0.253975E-01   0.00000    
  0.691782E-01   1.99587      0.704963      0.503304      0.226114      0.221892      0.478849      0.281413      0.448005      0.203941      0.128240      0.936514E-01  0.221723E-01   0.00000    
  0.758523E-01   1.81032      0.709515      0.496795      0.213289      0.205657      0.496226      0.291138      0.418946      0.194148      0.119168      0.864884E-01  0.191410E-01   0.00000    
  0.831703E-01   1.62695      0.713625      0.489954      0.200259      0.189841      0.513366      0.300114      0.390099      0.183914      0.110296      0.795443E-01  0.163453E-01   0.00000    
  0.911943E-01   1.44732      0.717199      0.482644      0.187039      0.174466      0.530160      0.308179      0.361505      0.173255      0.101638      0.728280E-01  0.137835E-01   0.00000    
  0.999925E-01   1.27218      0.720158      0.474728      0.173622      0.159512      0.546536      0.315216      0.333134      0.162186      0.931846E-01  0.663276E-01  0.114359E-01   0.00000    
  0.109639       1.10413      0.722369      0.466031      0.160064      0.145080      0.562305      0.320951      0.305144      0.150728      0.849897E-01  0.600901E-01  0.933613E-02   0.00000    
  0.120217      0.946007      0.723561      0.456215      0.146380      0.131269      0.577181      0.324945      0.277650      0.138865      0.771065E-01  0.541629E-01  0.751497E-02   0.00000    
  0.131815      0.798445      0.723630      0.445133      0.132624      0.118042      0.591006      0.327091      0.250667      0.126687      0.695193E-01  0.485230E-01  0.593749E-02   0.00000    
  0.144533      0.663483      0.722277      0.432472      0.118867      0.105452      0.603411      0.327021      0.224318      0.114261      0.622594E-01  0.431922E-01  0.460596E-02   0.00000    
  0.158477      0.541734      0.719271      0.418057      0.105200      0.934885E-01  0.614071      0.324569      0.198689      0.101704      0.553269E-01  0.381616E-01  0.349622E-02   0.00000    
  0.173766      0.434664      0.714129      0.401554      0.917538E-01  0.822002E-01  0.622375      0.319354      0.173954      0.891536E-01  0.487518E-01  0.334483E-01  0.260024E-02   0.00000    
  0.190530      0.341900      0.706466      0.382855      0.786591E-01  0.715673E-01  0.627807      0.311288      0.150226      0.767725E-01  0.425295E-01  0.290378E-01  0.188661E-02   0.00000    
  0.208912      0.264001      0.695493      0.361678      0.661088E-01  0.616368E-01  0.629385      0.300041      0.127746      0.647693E-01  0.366916E-01  0.249452E-01  0.133947E-02   0.00000    
  0.229067      0.199564      0.680610      0.338056      0.542556E-01  0.523862E-01  0.626354      0.285670      0.106642      0.533300E-01  0.312320E-01  0.211541E-01  0.925549E-03   0.00000    
  0.251167      0.148172      0.660615      0.311864      0.433368E-01  0.438699E-01  0.617278      0.267994      0.872066E-01  0.427109E-01  0.261877E-01  0.176821E-01  0.625898E-03   0.00000    
  0.275399      0.107710      0.634730      0.283369      0.334813E-01  0.360676E-01  0.601248      0.247301      0.695489E-01  0.330700E-01  0.215530E-01  0.145146E-01  0.411282E-03   0.00000    
  0.301969      0.770733E-01  0.601425      0.252736      0.249148E-01  0.290446E-01  0.576510      0.223691      0.539594E-01  0.246501E-01  0.173709E-01  0.116737E-01  0.264720E-03   0.00000    
  0.331102      0.540174E-01  0.560083      0.220535      0.176743E-01  0.227798E-01  0.542409      0.197755      0.404541E-01  0.175093E-01  0.136333E-01  0.914648E-02  0.165054E-03   0.00000    
  0.363046      0.372802E-01  0.509422      0.187353      0.118905E-01  0.173417E-01  0.497532      0.170012      0.292322E-01  0.117900E-01  0.103841E-01  0.695755E-02  0.100459E-03   0.00000    
  0.398071      0.250611E-01  0.449847      0.154069      0.744829E-02  0.126944E-01  0.442399      0.141375      0.201427E-01  0.738983E-02  0.760459E-02  0.508982E-02  0.584602E-04   0.00000    
  0.436476      0.163061E-01  0.381817      0.121660      0.428624E-02  0.886518E-02  0.377531      0.112795      0.131514E-01  0.425413E-02  0.531253E-02  0.355265E-02  0.321099E-04   0.00000    
  0.478586      0.101744E-01  0.307602      0.913325E-01  0.222451E-02  0.584346E-02  0.305377      0.854891E-01  0.806797E-02  0.220801E-02  0.350271E-02  0.234075E-02  0.165079E-04   0.00000    
  0.524759      0.593480E-02  0.231186      0.642324E-01  0.100807E-02  0.357200E-02  0.230178      0.606604E-01  0.458008E-02  0.100045E-02  0.214165E-02  0.143035E-02  0.762261E-05   0.00000    
  0.575386      0.313313E-02  0.158049      0.414275E-01  0.381660E-03  0.197620E-02  0.157667      0.394513E-01  0.235786E-02  0.378654E-03  0.118511E-02  0.791089E-03  0.300585E-05   0.00000    
  0.630897      0.142682E-02  0.945393E-01  0.237094E-01  0.112741E-03  0.952935E-03  0.944266E-01  0.227565E-01  0.106568E-02  0.111809E-03  0.571573E-03  0.381363E-03  0.931843E-06   0.00000    
  0.691764      0.519219E-03  0.463888E-01  0.113951E-01  0.231651E-04  0.376055E-03  0.463656E-01  0.110191E-01  0.399220E-03  0.229718E-04  0.225594E-03  0.150461E-03  0.193228E-06   0.00000    
  0.758504      0.129898E-03  0.165113E-01  0.413730E-02  0.263057E-05  0.107487E-03  0.165086E-01  0.402981E-02  0.110118E-03  0.261523E-05  0.644893E-04  0.429980E-04  0.153423E-07   0.00000    
  0.831682      0.167172E-04  0.326755E-02  0.903132E-03  0.100896E-06  0.171651E-04  0.326745E-02  0.885967E-03  0.172660E-04  0.102274E-06  0.102993E-04  0.686574E-05  -.137801E-08   0.00000    
  0.911920      0.425126E-06  0.152872E-03  0.566768E-04  0.137208E-09  0.657816E-06  0.152872E-03  0.560190E-04  0.657953E-06  0.224444E-09  0.394707E-06  0.263109E-06  -.872367E-10   0.00000    
  0.999900      0.460061E-13  0.280060E-10  0.425720E-10  -.177247E-16  0.111149E-12  0.280060E-10  0.424608E-10  0.111131E-12  -.894038E-17  0.666913E-13  0.444579E-13  -.878431E-17   0.00000    
